Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Germany,23635.929219999998,23607.882859999998,25077.72908,30243.576530000002,34044.05363,34507.36881,36323.447739999996,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41139.54457,42098.92045,44349.589660000005,47639.00344,46258.87829
Djibouti,768.1760767000001,780.9082225999999,791.3894782000001,818.8666297999999,863.2316122999999,904.7297489,967.6686229000001,1052.7256519999999,1223.856861,1267.312801,1343.26873,1451.5429800000002,1559.240651,2312.728803,2464.327841,2658.9787530000003,2802.197051,2914.383856,3141.889219,3408.846254
Dominica,4787.780171,4883.723663000001,4771.040927,4897.44175,5217.230415999999,5160.224314,5518.399108,5952.056669,6469.145738,6902.85717,6967.266654000001,7065.061847,6848.394227,7016.676471,7318.103783,7596.4350620000005,8080.968623000001,7274.7213329999995,7691.345096999999,8300.375074
Denmark,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.054970000005,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856,54663.99837,57141.059839999994,61390.69301,59822.09296
Dominican Republic,2869.105861,2977.148428,3136.1551870000003,2445.435893,2528.577199,3970.32284,4134.683785,4707.792532,5087.985365,5039.402596,5555.389722,5913.432072,6110.369652,6238.133608,6608.828102,6921.517228,7280.880109000001,7609.338798999999,8050.630440000001,8282.116222
Algeria,1764.9738300000001,1740.642423,1781.8373649999999,2103.4130579999996,2609.945608,3113.101094,3478.654871,3950.5193689999996,4923.629265,3883.2612710000003,4480.799271,5455.853529,5592.257099,5499.5814869999995,5493.02559,4177.892515,3946.4439770000004,4044.2766,4114.715061,3948.3432789999997
East Asia & Pacific (excluding high income),956.6720981000001,1008.3682630000001,1106.279813,1241.6325279999999,1428.057728,1640.9600560000001,1961.1329649999998,2461.094187,3091.0732829999997,3327.851534,4005.4889630000002,4858.581874,5378.84239,5891.4577659999995,6306.328414,6522.674364,6612.248471,7173.398308,7971.137515,8222.077729999999
Early-demographic dividend,1336.999304,1300.562379,1241.895696,1358.496792,1552.3363060000001,1780.271725,2003.737176,2338.7244969999997,2595.7736010000003,2460.736569,2944.925795,3252.888306,3362.3827909999995,3373.3066799999997,3444.087951,3297.405256,3328.524055,3548.288051,3582.0022270000004,3641.4942810000002
East Asia & Pacific,4052.343379,3736.2279,3765.7844189999996,4108.71312,4574.633268,4848.234538000001,5105.557388,5672.542598,6498.487645,6647.743114,7697.992805,8861.458466,9420.497882,9466.235451999999,9703.284026000001,9598.278554999999,9857.980865000001,10467.70219,11316.76045,11526.736490000001
Europe & Central Asia (excluding high income),1790.9548579999998,1770.4544640000001,2026.5460640000001,2553.074991,3381.5302030000003,4269.885041,5229.663859,6709.636366,8284.804299,6466.589968,7780.766654000001,9611.536804000001,10189.223979999999,10729.40774,9897.827942,7461.211702,7043.481347,7863.679048999999,8013.860708,8110.721448
